WARNING: Could not find BOOLECTOR binary, "--boolector" option not available.
Rounds	Xa                  Xb                  A                   F                   w                   
17	0x0000000000000082  0x0000000000000104  0x0000000000000000  0x0000000000000000  -0                  
18	0x0000000000000208  0x0000000000000410  0x0000000000000000  0x0000000000000000  -0                  
19	0x0000000000000820  0x0000000000001040  0x0000000000000008  0x0000000000000000  -1                  
20	0x0000000000002080  0x0000000000004100  0x0000000000000002  0x0000000000000000  -1                  
21	0x0000000000008200  0x0000000000010400  0x0000000000000001  0x0000000000000000  -1                  
22	0x0000000000020800  0x0000000000041000  0x0000000000000000  0x0000000000000000  -0                  
23	0x0000000000082000  0x0000000020104000  0x0000000000000002  0x0000000000000000  -1                  
24	0x0000000040208000  0x0000000080410000  0x0000000000000003  0x0000000000000000  -1                  
25	0x0000000100820000  0x0000000201040000  0x0000000000000000  0x0000000000000000  -0                  
26	0x0000000402080000  0x0000000824100000  0x0000000000000000  0x0000000000000000  -0                  
27	0x0000001048200000  0x0000002090400000  0x0000000000000006  0x0000000000000000  -2                  
28	0x0000004120800000  0x0000008241000000  0x0000000000000000  0x0000000000000000  -0                  
29	0x0000010482000000  0x0000020904000000  0x0000000000000000  0x0000000000000000  -0                  
30	0x0000041208000000  0x0000082410000000  0x0000000000000004  0x0000000000000000  -1                  
31	0x0000104820000000  0x0000209040000000  0x0000000000000024  0x0000000000000004  -2                  
32	0x0000412080000000  0x0000824100000000  0x0000000000000000  0x0000000000000000  -0                  
33	0x0000048200000000  0x0000090400000000  0x0000000000000000  0x0000000000000000  -0                  
34	0x0000120800000000  0x0000241000000000  0x0000000000000024  0x0000000000000004  -2                  
35	0x0000482000000000  0x0000904000000000  0x0000000000000020  0x0000000000000020  -1                  
36	0x0000208000000000  0x0000410000000000  0x0000000000000000  0x0000000000000000  -0                  
37	0x0000820000000000  0x0000040000000000  0x0000000000000000  0x0000000000000000  -0                  
38	0x0000080000000000  0x0000100000000000  0x0000000000000020  0x0000000000000020  -1                  
39	0x0000200000000001  0x0000400000000002  0x0000000000000000  0x0000000000000000  -0                  
40	0x0000800000000004  0x0000000000000009  0x0000000000000000  0x0000000000000000  -0                  
41	0x0000000000000012  0x0000000000000024  0x0000000000000000  0x0000000000000000  -0                  
42	0x0000000000000048  0x0000000000000090  0x0000000000000001  0x0000000000000000  -1                  
43	0x0000000000000120  0x0000000000000240  0x0000000000000008  0x0000000000000000  -1                  
44	0x0000000000000480  0x0000000000000900  0x0000000000000000  0x0000000000000000  -0                  
45	0x0000000000001200  0x0000000000002400  0x0000000000000010  0x0000000000000000  -1                  
46	0x0000000000004800  0x0000000000009000  0x0000000000000008  0x0000000000000000  -1                  
47	0x0000000000012000  0x0000000020024000  0x0000000000000002  0x0000000000000002  -1                  
48	0x0000000040048000  0x0000000080090000  0x0000000000000001  0x0000000000000000  -1                  
49	0x0000000120120000  0x0000000240240000  0x0000000000000010  0x0000000000000000  -1                  
50	0x0000000480480000  0x0000000920900000  0x0000000000000000  0x0000000000000000  -0                  
51	0x0000001241200000  0x0000002482400000  0x0000000000000006  0x0000000000000000  -2                  
52	0x0000004904800000  0x0000009209000000  0x0000000000000020  0x0000000000000000  -1                  
53	0x0000012412000000  0x0000024824000000  0x0000000000000000  0x0000000000000000  -0                  
54	0x0000049048000000  0x0000092090000000  0x0000000000000004  0x0000000000000000  -1                  
55	0x0000124120000000  0x0000248240000000  0x0000000000000004  0x0000000000000004  -1                  
56	0x0000490480000000  0x0000920900000000  0x0000000000000020  0x0000000000000000  -1                  
57	0x0000241200000000  0x0000482400000000  0x0000000000000004  0x0000000000000000  -1                  
58	0x0000904800000000  0x0000209000000000  0x0000000000000024  0x0000000000000004  -2                  
59	0x0000412000000000  0x0000824000000000  0x0000000000000000  0x0000000000000000  -0                  
60	0x0000048000000000  0x0000090000000000  0x0000000000000000  0x0000000000000000  -0                  
61	0x0000120000000000  0x0000240000000000  0x0000000000000004  0x0000000000000004  -1                  
62	0x0000480000000000  0x0000900000000000  0x0000000000000020  0x0000000000000020  -1                  
63	0x0000200000000000  0x0000400000000000  0x0000000000000000  0x0000000000000000  -0                  
64	0x0000800000000000  0x0000000000000001  0x0000000000000000  0x0000000000000000  -0                  
65	0x0000000000000002  0x0000000000000004  0x0000000000000000  0x0000000000000000  -0                  
66	0x0000000000000008  0x0000000000000010  0x0000000000000000  0x0000000000000000  -0                  
67	0x0000000000000020  0x0000000000000040  0x0000000000000008  0x0000000000000000  -1                  
68	0x0000000000000080  0x0000000000000100  0x0000000000000000  0x0000000000000000  -0                  
69	0x0000000000000200  0x0000000000000400  0x0000000000000000  0x0000000000000000  -0                  
70	0x0000000000000800  0x0000000000001000  0x0000000000000000  0x0000000000000000  -0                  
71	0x0000000000002000  0x0000000000004000  0x0000000000000002  0x0000000000000000  -1                  
72	0x0000000000008000  0x0000000000010000  0x0000000000000001  0x0000000000000000  -1                  
73	0x0000000000020000  0x0000000000040000  0x0000000000000000  0x0000000000000000  -0                  
74	0x0000000000080000  0x0000000020100000  0x0000000000000000  0x0000000000000000  -0                  
75	0x0000000040200000  0x0000000080400000  0x0000000000000002  0x0000000000000000  -1                  
76	0x0000000100800000  0x0000000201000000  0x0000000000000000  0x0000000000000000  -0                  
77	0x0000000402000000  0x0000000804000000  0x0000000000000000  0x0000000000000000  -0                  
78	0x0000001008000000  0x0000002010000000  0x0000000000000004  0x0000000000000000  -1                  
79	0x0000004020000000  0x0000008040000000  0x0000000000000000  0x0000000000000000  -0                  
80	0x0000010080000000  0x0000020100000000  0x0000000000000000  0x0000000000000000  -0                  
81	0x0000040200000001  0x0000080400000002  0x0000000000000000  0x0000000000000000  -0                  
82	0x0000100800000004  0x0000201000000008  0x0000000000000024  0x0000000000000004  -2                  
83	0x0000402000000010  0x0000804000000020  0x0000000000000000  0x0000000000000000  -0                  
84	0x0000008000000041  0x0000010020000082  0x0000000000000001  0x0000000000000001  -1                  
85	0x0000020040000104  0x0000040080000209  0x0000000000000000  0x0000000000000000  -0                  
86	0x0000080100000412  0x0000100200000824  0x0000000000000020  0x0000000000000020  -1                  
87	0x0000200400001049  none                none                none                none                

Weight: 46
